type,bom_ref,group,name,version,description,algorithm,hash_text,license_id,purl,website,issueTracker,vcs
library,@now-ims/hapi-now-auth@2.1.0,@now-ims,hapi-now-auth,2.1.0,Simple hapi v17+ authentication scheme including JWT,SHA-512,a295fb8bcb08958dc311ef9dd1497b1a452d64018c81221e02aeab46a480004aa09a5430eea8ed9b5e401deeb014b3438ea9aebff67f97380fea19c5d8f12c42,MIT,pkg:npm/%40now-ims/hapi-now-auth@2.1.0,https://github.com/brianloveswords/node-jwa#readme,https://github.com/brianloveswords/node-jwa/issues,git://github.com/brianloveswords/node-jwa.git
library,@now-ims/hapi-now-auth@2.1.0|@hapi/boom@7.4.11,@hapi,boom,7.4.11,HTTP-friendly error objects,SHA-512,55253f0a78f50d7a2eba4631c647ace27349a270a7968807bc87dfd6fd51568378c7390a84c5d7f864666f73721f589aaf5d08f5614f0efd893f07c7dc6695d0,BSD-3-Clause,pkg:npm/%40hapi/boom@7.4.11,https://github.com/hapijs/boom#readme,https://github.com/hapijs/boom/issues,git://github.com/hapijs/boom.git
library,@now-ims/hapi-now-auth@2.1.0|@hapi/hoek@9.0.3,@hapi,hoek,9.0.3,General purpose node utilities,SHA-512,8cab632cb0e21fde5bd34dac25573973be0f13a28a61fb6ec957559acb9821de6cb5369671116a13ee6e91923880350a8c69fcc2fd82df33e7dff9f28c423b82,BSD-3-Clause,pkg:npm/%40hapi/hoek@9.0.3,https://github.com/hapijs/hoek#readme,https://github.com/hapijs/hoek/issues,git://github.com/hapijs/hoek.git
library,@now-ims/hapi-now-auth@2.1.0|jsonwebtoken@9.0.0,,jsonwebtoken,9.0.0,JSON Web Token implementation (symmetric and asymmetric),SHA-512,b6e19f617c644060cf9cb27b4a26e242056078381f6cfab693620271b82a5bc5b158b040c4a40cfd90aefc84fc48e4b099a625e1da531425b9c59bfb61b6d653,MIT,pkg:npm/jsonwebtoken@9.0.0,https://github.com/auth0/node-jsonwebtoken#readme,https://github.com/auth0/node-jsonwebtoken/issues,git+https://github.com/auth0/node-jsonwebtoken.git
library,@now-ims/hapi-now-auth@2.1.0|jws@3.2.2,,jws,3.2.2,Implementation of JSON Web Signatures,SHA-512,607959081ea5313965583b523c7cff6574ec8bc4b4d2eb0457abf5b63abcb4e519cf0ec3a520d65578d70eb7ba79dd70fe9778f79383a4765849d9114ec6b41c,MIT,pkg:npm/jws@3.2.2,https://github.com/brianloveswords/node-jws#readme,https://github.com/brianloveswords/node-jws/issues,git://github.com/brianloveswords/node-jws.git
library,@now-ims/hapi-now-auth@2.1.0|jwa@1.4.1,,jwa,1.4.1,JWA implementation (supports all JWS algorithms),SHA-512,aa22d7ff1844105294009e8588131b7acdf0f404f3ca4e56ec7bf3a5afd22d877136d9e0fa072eaefac8ed36c00a321796c272af4e7f4b5a14859adceb77af40,MIT,pkg:npm/jwa@1.4.1,https://github.com/brianloveswords/node-jwa#readme,https://github.com/brianloveswords/node-jwa/issues,git://github.com/brianloveswords/node-jwa.git
library,joi@17.11.0,@hapi,joi,17.11.0,Object schema validation,SHA-512,36007e9592cda2a212572d6b668704f4f648dfa6cbffbee27bddb8462e37c84be2f4651430f7b2548afc29d15331495bcb5a743c160c93db29231114418aab25,BSD-3-Clause,pkg:npm/joi@17.11.0,https://github.com/hapijs/topo#readme,https://github.com/hapijs/topo/issues,git://github.com/hapijs/topo.git
library,joi@17.11.0|@hapi/hoek@9.0.3,@hapi,hoek,9.0.3,General purpose node utilities,SHA-512,8cab632cb0e21fde5bd34dac25573973be0f13a28a61fb6ec957559acb9821de6cb5369671116a13ee6e91923880350a8c69fcc2fd82df33e7dff9f28c423b82,BSD-3-Clause,pkg:npm/%40hapi/hoek@9.0.3,https://github.com/hapijs/hoek#readme,https://github.com/hapijs/hoek/issues,git://github.com/hapijs/hoek.git
library,joi@17.11.0|@hapi/topo@5.1.0,@hapi,topo,5.1.0,Topological sorting with grouping support,SHA-512,7e84192898a0ece6f404c01805f70993c77bed0b4e7bb5a8e28c7b7dfd65418a0d3406fa8f0718d6771da32d9ef70419cef372ece0d90982642bc93399c02702,BSD-3-Clause,pkg:npm/%40hapi/topo@5.1.0,https://github.com/hapijs/topo#readme,https://github.com/hapijs/topo/issues,git://github.com/hapijs/topo.git
library,@sideway/address@4.1.4,@sideway,address,4.1.4,Email address and domain validation,SHA-512,eefc2afab3875568f25f156547be80827be1cbc23dae9ce3a2c4c44af9a135e5ce5dd659075e4597e4c8f71d52887647e49bf6c1319db92c450c86aad26dc353,BSD-3-Clause,pkg:npm/%40sideway/address@4.1.4,https://github.com/hapijs/hoek#readme,https://github.com/hapijs/hoek/issues,git://github.com/hapijs/hoek.git
library,@sideway/address@4.1.4|@hapi/hoek@9.0.3,@hapi,hoek,9.0.3,General purpose node utilities,SHA-512,8cab632cb0e21fde5bd34dac25573973be0f13a28a61fb6ec957559acb9821de6cb5369671116a13ee6e91923880350a8c69fcc2fd82df33e7dff9f28c423b82,BSD-3-Clause,pkg:npm/%40hapi/hoek@9.0.3,https://github.com/hapijs/hoek#readme,https://github.com/hapijs/hoek/issues,git://github.com/hapijs/hoek.git
library,@sideway/formula@3.0.1,@sideway,formula,3.0.1,Math and string formula parser.,SHA-512,fe9a076492558f1dcbfb3543ea0f4a8077d89dbe38de88bbc0bbbf5caa230ef887cba1ce10e03acf54eb939691d5d19c98f7a724481bdac2b623cd0b792dcc22,BSD-3-Clause,pkg:npm/%40sideway/formula@3.0.1,https://github.com/sideway/formula#readme,https://github.com/sideway/formula/issues,git://github.com/sideway/formula.git
library,@sideway/pinpoint@2.0.0,@sideway,pinpoint,2.0.0,Return the filename and line number of the calling function,SHA-512,44d88ea133e4a6d16d495cd07af63fc96b59c1ffd1c725673f2fce700f4704cdcc9460e704460be41e351f43139f451e73c1e2fb6a94b537c6d9659906631e8d,BSD-3-Clause,pkg:npm/%40sideway/pinpoint@2.0.0,https://github.com/sideway/pinpoint#readme,https://github.com/sideway/pinpoint/issues,git://github.com/sideway/pinpoint.git
library,fast-uri@2.3.0,,fast-uri,2.3.0,Dependency free RFC 3986 URI toolbox,SHA-512,79e97950a1a7dfaf6018458ea814a19852567eaff1489bec803ce02d80bce391a779ac96bd705fd25242067e6a4c005f7b0cb56433e8691e4e6423fe92cb1fbb,MIT,pkg:npm/fast-uri@2.3.0,https://github.com/fastify/fast-uri,https://github.com/fastify/fast-uri/issues,git+https://github.com/fastify/fast-uri.git
library,json-schema-traverse@1.0.0,,json-schema-traverse,1.0.0,Traverse JSON Schema passing each schema object to callback,SHA-512,34cf3f3fd9f75e35e12199f594b86415a0024ce5114178d6855e0103f4673aff31be0aadaa9017f483b89914314b1d51968e2dab37aa6f4b0e96bb9a3b2dddba,MIT,pkg:npm/json-schema-traverse@1.0.0,https://github.com/epoberezkin/json-schema-traverse#readme,https://github.com/epoberezkin/json-schema-traverse/issues,git+https://github.com/epoberezkin/json-schema-traverse.git
library,require-from-string@2.0.2,,require-from-string,2.0.2,Require module from string,SHA-512,5dfd2759ee91b1ece214cbbe029f5b8a251b9a996ae92f7fa7eef0ed85cffc904786b5030d48706bebc0372b9bbaa7d9593bde53ffc36151ac0c6ed128bfef13,MIT,pkg:npm/require-from-string@2.0.2,https://github.com/floatdrop/require-from-string#readme,https://github.com/floatdrop/require-from-string/issues,git+https://github.com/floatdrop/require-from-string.git
